MATCHWEEK,HTEAM,ATEAM,HGK,HDEF1,HDEF2,HDEF3,HDEF4,HDEF5,HMID1,HMID2,HMID3,HMID4,HMID5,HMID6,HFOR1,HFOR2,HFOR3,HFOR4,HFOR5,AGK,ADEF1,ADEF2,ADEF3,ADEF4,ADEF5,AMID1,AMID2,AMID3,AMID4,AMID5,AMID6,AFOR1,AFOR2,AFOR3,AFOR4,AFOR5,HFULLGOAL,AFULLGOAL,FULLRESULT
1,CUIABA,JUVENTUDE,CUI_walter,CUI_lucasramon,CUI_marllon,CUI_andersonconceiçao,CUI_uendel,CUI_none,CUI_pepe,CUI_rafaelgava,CUI_camilo,CUI_none,CUI_none,CUI_none,CUI_jonathancafu,CUI_elton,CUI_clayson,CUI_none,CUI_none,JUV_marcelocarne,JUV_michel,JUV_vitormendes,JUV_rafaelforster,JUV_alyson,JUV_none,JUV_joaopaulo,JUV_guilhermecastilho,JUV_wescley,JUV_none,JUV_none,JUV_none,JUV_capixaba,JUV_matheuspeixoto,JUV_chico,JUV_none,JUV_none,2,2,D
1,INTERNACIONAL,SPORT,INT_marcelolomba,INT_saravia,INT_lucasribeiro,INT_victorcuesta,INT_moises,INT_none,INT_rodrigolindoso,INT_edenilson,INT_taison,INT_mauricio,INT_none,INT_none,INT_caiovidal,INT_yurialberto,INT_none,INT_none,INT_none,SPT_mailson,SPT_hayner,SPT_rafaelthyere,SPT_sabino,SPT_sander,SPT_none,SPT_marcaosilva,SPT_juniortavares,SPT_ricardinho,SPT_thiagoneves,SPT_none,SPT_none,SPT_paulinhomoccelin,SPT_mikael,SPT_none,SPT_none,SPT_none,2,2,D
1,ATHLETICO-PR,AMERICA-MG,CAP_santos,CAP_khellven,CAP_pedrohenrique,CAP_thiagoheleno,CAP_abnervinicius,CAP_none,CAP_richard,CAP_christian,CAP_jadson,CAP_none,CAP_none,CAP_none,CAP_nikao,CAP_renatokayzer,CAP_vitinho,CAP_none,CAP_none,AME_matheuscavichioli,AME_diegoferreira,AME_andersonjesus,AME_eduardobauermann,AME_marlon,AME_none,AME_zericardo,AME_juninho,AME_brunonazario,AME_ale,AME_felipeazevedo,AME_none,AME_rodolfojose,AME_none,AME_none,AME_none,AME_none,1,0,H
1,CHAPECOENSE,BRAGANTINO,CHA_tiepo,CHA_matheusribeiro,CHA_laercio,CHA_derlan,CHA_busanello,CHA_none,CHA_moisesribeiro,CHA_andersonleite,CHA_ronei,CHA_none,CHA_none,CHA_none,CHA_mike,CHA_anselmoramon,CHA_perotti,CHA_none,CHA_none,BGT_cleiton,BGT_aderlan,BGT_leoortiz,BGT_fabriciobruno,BGT_luancândido,BGT_none,BGT_ramires,BGT_lucasevangelista,BGT_claudinho,BGT_none,BGT_none,BGT_none,BGT_artur,BGT_ytalo,BGT_helinho,BGT_none,BGT_none,0,3,A
1,CORINTHIANS,ATLETICO-GO,COR_cassio,COR_fagner,COR_gil,COR_raulgustavo,COR_lucaspiton,COR_none,COR_roni,COR_camacho,COR_ramiro,COR_none,COR_none,COR_none,COR_gustavomosquito,COR_luan,COR_mateusvital,COR_none,COR_none,ACG_fernandomiguel,ACG_dudu,ACG_nathansilva,ACG_eder,ACG_igorcarius,ACG_none,ACG_willianmaranhao,ACG_marlonfreitas,ACG_ronald,ACG_joaopaulo,ACG_none,ACG_none,ACG_natanael,ACG_zeroberto,ACG_none,ACG_none,ACG_none,0,1,A
1,BAHIA,SANTOS,BAH_mateusclaus,BAH_renanguedes,BAH_conti,BAH_juninho,BAH_matheusbahia,BAH_none,BAH_patrickdelucca,BAH_daniel,BAH_thaciano,BAH_none,BAH_none,BAH_none,BAH_rossi,BAH_gilberto,BAH_rodriguinho,BAH_none,BAH_none,SAN_joaopaulo,SAN_para,SAN_kaiky,SAN_luanperes,SAN_felipejonatan,SAN_none,SAN_alison,SAN_jeanmota,SAN_gabrielpirani,SAN_none,SAN_none,SAN_none,SAN_marinho,SAN_kaiojorge,SAN_lucasbraga,SAN_none,SAN_none,3,0,H
1,FLAMENGO,PALMEIRAS,FLA_diegoalves,FLA_isla,FLA_willianarao,FLA_rodrigocaio,FLA_filipeluis,FLA_none,FLA_diego,FLA_gerson,FLA_evertonribeiro,FLA_arrascaeta,FLA_none,FLA_none,FLA_brunohenrique,FLA_pedro,FLA_none,FLA_none,FLA_none,PAL_weverton,PAL_gustavogomez,PAL_luan,PAL_alanempereur,PAL_none,PAL_none,PAL_gabrielmenino,PAL_felipemelo,PAL_patrickdepaula,PAL_raphaelveiga,PAL_viña,PAL_none,PAL_rony,PAL_luizadriano,PAL_none,PAL_none,PAL_none,1,0,H
1,ATLETICO-MG,FORTALEZA,CAM_everson,CAM_guga,CAM_igorrabello,CAM_junioralonso,CAM_guilhermearana,CAM_none,CAM_allan,CAM_tchetche,CAM_nachofernandez,CAM_none,CAM_none,CAM_none,CAM_savarino,CAM_hulk,CAM_marrony,CAM_none,CAM_none,FOR_felipealves,FOR_tinga,FOR_marcelobenevenuto,FOR_titi,FOR_none,FOR_none,FOR_danielguedes,FOR_ederson,FOR_felipe,FOR_matheusvargas,FOR_lucascrispim,FOR_none,FOR_robson,FOR_wellingtonpaulista,FOR_none,FOR_none,FOR_none,1,2,A
1,SAOPAULO,FLUMINENSE,SAO_tiagovolpi,SAO_brunoalves,SAO_miranda,SAO_leo,SAO_none,SAO_none,SAO_igorvinicius,SAO_luan,SAO_liziero,SAO_igorgomes,SAO_reinaldo,SAO_none,SAO_gabrielsara,SAO_pablo,SAO_none,SAO_none,SAO_none,FLU_marcosfelipe,FLU_samuelxavier,FLU_nino,FLU_luccasclaro,FLU_egidio,FLU_none,FLU_martinelli,FLU_yagofelipe,FLU_nene,FLU_none,FLU_none,FLU_none,FLU_caiopaulista,FLU_abelhernandez,FLU_gabrielteixeira,FLU_none,FLU_none,0,0,D
1,CEARA,GREMIO,CEA_joaoricardo,CEA_buiu,CEA_messias,CEA_gabriellacerda,CEA_kelvyn,CEA_none,CEA_oliveira,CEA_pedronaressi,CEA_jorginho,CEA_none,CEA_none,CEA_none,CEA_saulomineiro,CEA_cleber,CEA_rick,CEA_none,CEA_none,GRE_brenno,GRE_vanderson,GRE_pedrogeromel,GRE_ruan,GRE_diogobarbosa,GRE_none,GRE_thiagosantos,GRE_lucassilva,GRE_matheushenrique,GRE_none,GRE_none,GRE_none,GRE_leopereira,GRE_ricardinho,GRE_leochu,GRE_none,GRE_none,3,2,H
